SYMBOL,CLOSING PRICE,DAY,DATE
S,9.19,1,2017-01-24
S,9.19,2,2017-01-25
S,9.43,3,2017-01-26
S,9.22,4,2017-01-27
S,9.11,0,2017-01-30
S,9.23,1,2017-01-31
S,9.01,2,2017-02-01
S,8.53,3,2017-02-02
S,8.43,4,2017-02-03
S,8.36,0,2017-02-06
S,8.34,1,2017-02-07
S,8.66,2,2017-02-08
S,8.77,3,2017-02-09
S,8.96,4,2017-02-10
S,8.84,0,2017-02-13
S,9.07,1,2017-02-14
S,9.12,2,2017-02-15
S,9,3,2017-02-16
S,9.3,4,2017-02-17
S,9.27,1,2017-02-21
S,9.29,2,2017-02-22
S,8.96,3,2017-02-23
S,8.94,4,2017-02-24
S,8.91,0,2017-02-27
S,8.81,1,2017-02-28
S,8.84,2,2017-03-01
S,8.73,3,2017-03-02
S,8.9,4,2017-03-03
S,8.78,0,2017-03-06
S,8.3,1,2017-03-07
S,8.41,2,2017-03-08
S,8.31,3,2017-03-09
S,8.28,4,2017-03-10
S,8.48,0,2017-03-13
S,8.37,1,2017-03-14
S,8.66,2,2017-03-15
S,8.61,3,2017-03-16
S,8.57,4,2017-03-17
S,8.5,0,2017-03-20
S,8.28,1,2017-03-21
S,8.27,2,2017-03-22
S,8.46,3,2017-03-23
S,8.5,4,2017-03-24
S,8.29,0,2017-03-27
S,8.33,1,2017-03-28
S,8.48,2,2017-03-29
S,8.52,3,2017-03-30
S,8.68,4,2017-03-31
S,8.67,0,2017-04-03
S,8.68,1,2017-04-04
S,8.41,2,2017-04-05
S,8.39,3,2017-04-06
S,8.37,4,2017-04-07
S,8.36,0,2017-04-10
S,8.32,1,2017-04-11
S,8.34,2,2017-04-12
S,8.28,3,2017-04-13
S,8.4,0,2017-04-17
S,8.5,1,2017-04-18
S,8.57,2,2017-04-19
S,8.58,3,2017-04-20
S,8.5,4,2017-04-21
S,8.71,0,2017-04-24
S,8.95,1,2017-04-25
S,8.91,2,2017-04-26
S,9.03,3,2017-04-27
S,9.03,4,2017-04-28
S,9.11,0,2017-05-01
S,9.07,1,2017-05-02
S,7.77,2,2017-05-03
S,7.94,3,2017-05-04
S,8.04,4,2017-05-05
S,7.76,0,2017-05-08
S,7.9,1,2017-05-09
S,7.88,2,2017-05-10
S,7.87,3,2017-05-11
S,7.95,4,2017-05-12
S,7.88,0,2017-05-15
S,7.94,1,2017-05-16
S,7.34,2,2017-05-17
S,7.89,3,2017-05-18
S,8.07,4,2017-05-19
