SYMBOL,CLOSING PRICE,DAY,DATE
T,35.37,2,2014-11-19
T,35.72,1,2014-11-18
T,35.85,0,2014-11-17
T,35.90,4,2014-11-14
T,35.61,3,2014-11-13
T,35.40,2,2014-11-12
T,35.10,1,2014-11-11
T,35.12,0,2014-11-10
T,34.91,4,2014-11-07
T,34.72,3,2014-11-06
T,34.92,2,2014-11-05
T,34.79,1,2014-11-04
T,34.84,0,2014-11-03
T,34.84,4,2014-10-31
T,34.51,3,2014-10-30
T,34.40,2,2014-10-29
T,34.33,1,2014-10-28
T,34.11,0,2014-10-27
T,33.87,4,2014-10-24
T,33.66,3,2014-10-23
T,34.50,2,2014-10-22
T,34.62,1,2014-10-21
T,34.28,0,2014-10-20
T,34.08,4,2014-10-17
T,33.64,3,2014-10-16
T,33.87,2,2014-10-15
T,33.84,1,2014-10-14
T,33.82,0,2014-10-13
T,34.25,4,2014-10-10
T,34.66,3,2014-10-09
T,35.15,2,2014-10-08
T,35.33,1,2014-10-07
T,35.49,0,2014-10-06
T,35.36,4,2014-10-03
T,34.97,3,2014-10-02
T,34.96,2,2014-10-01
T,35.24,1,2014-09-30
T,35.23,0,2014-09-29
T,35.28,4,2014-09-26
T,35.08,3,2014-09-25
T,35.40,2,2014-09-24
T,35.26,1,2014-09-23
T,35.50,0,2014-09-22
T,35.47,4,2014-09-19
T,35.16,3,2014-09-18
T,35.02,2,2014-09-17
T,34.95,1,2014-09-16
T,34.69,0,2014-09-15
T,34.50,4,2014-09-12
T,34.85,3,2014-09-11
T,34.70,2,2014-09-10
T,34.66,1,2014-09-09
T,35.01,0,2014-09-08
T,35.15,4,2014-09-05
T,34.94,3,2014-09-04
T,34.97,2,2014-09-03
T,34.84,1,2014-09-02
T,34.96,4,2014-08-29
T,34.74,3,2014-08-28
T,34.75,2,2014-08-27
T,34.50,1,2014-08-26
T,34.51,0,2014-08-25
T,34.50,4,2014-08-22
T,34.64,3,2014-08-21
T,34.53,2,2014-08-20
T,34.48,1,2014-08-19
T,34.65,0,2014-08-18
T,34.74,4,2014-08-15
T,34.91,3,2014-08-14
T,34.69,2,2014-08-13
T,34.64,1,2014-08-12
T,34.47,0,2014-08-11
T,34.47,4,2014-08-08
T,34.21,3,2014-08-07
T,34.62,2,2014-08-06
T,35.11,1,2014-08-05
T,35.46,0,2014-08-04
T,35.33,4,2014-08-01
T,35.59,3,2014-07-31
T,36.36,2,2014-07-30
T,36.59,1,2014-07-29
T,35.65,0,2014-07-28
T,35.54,4,2014-07-25
T,35.50,3,2014-07-24
T,35.88,2,2014-07-23
T,35.94,1,2014-07-22
T,35.96,0,2014-07-21
T,36.17,4,2014-07-18
T,36.03,3,2014-07-17
T,36.45,2,2014-07-16
T,36.24,1,2014-07-15
T,35.86,0,2014-07-14
T,35.76,4,2014-07-11
T,35.70,3,2014-07-10
T,35.65,2,2014-07-09
T,35.56,1,2014-07-08
T,36.02,0,2014-07-07
T,35.84,3,2014-07-03
T,35.67,2,2014-07-02
T,35.48,1,2014-07-01
T,35.36,0,2014-06-30
T,35.41,4,2014-06-27
T,35.26,3,2014-06-26
T,35.26,2,2014-06-25
T,35.29,1,2014-06-24
T,35.39,0,2014-06-23
T,35.39,4,2014-06-20
T,35.36,3,2014-06-19
T,35.20,2,2014-06-18
T,35.02,1,2014-06-17
T,34.98,0,2014-06-16
T,35.03,4,2014-06-13
T,34.83,3,2014-06-12
T,34.81,2,2014-06-11
T,34.94,1,2014-06-10
T,35.01,0,2014-06-09
T,35.02,4,2014-06-06
T,35.10,3,2014-06-05
T,35.05,2,2014-06-04
T,35.20,1,2014-06-03
T,35.44,0,2014-06-02
T,35.47,4,2014-05-30
T,35.39,3,2014-05-29
T,35.34,2,2014-05-28
T,35.21,1,2014-05-27
T,35.32,4,2014-05-23
T,35.38,3,2014-05-22
T,35.27,2,2014-05-21
T,35.50,1,2014-05-20
T,36.38,0,2014-05-19
T,36.74,4,2014-05-16
T,36.52,3,2014-05-15
T,36.39,2,2014-05-14
T,36.20,1,2014-05-13
T,36.57,0,2014-05-12
T,36.44,4,2014-05-09
T,36.40,3,2014-05-08
